case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,background_simulation_id,background_sample_index,phi,psi,eta_1,eta_2,c_R1_ratio,c_R2_ratio,m_F,shortage_loss_Water,shortage_loss_Vaccine,shortage_loss_Crackers,paid_R_Vaccine,R_level_numeric_Vaccine,F_total,paid_R_any,R1_item_count,R2_item_count
E3A_H000_MF080,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,e194aec09000542d16d2d7dab45875a72dccf1668b3b8b432d01316427bba434,663f493f16f0700e13d30c199b9ffec8598ea4a3081af7144c9ab504b83bf900,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,abf03c6ea393aac68720d4b9a339ed6aa5228cfc87bab9e3e7b6632e2b6458d3,3,2,2,94905735c2abfa9b31732f77a9529fd6914f6e34c518fffba0da0170fb43fe45,P4,False,False,False,Q[NONE]|F[Water+Crackers],1199597673.9902155,1199597673.9902155,0.0,6131016.83835086,0.0,6131016.83835086,h09,5,Katrina,1193466657.1518648,13006889.017087618,1180459768.134777,1739336921.8887,142620422.1756863,19137905.85543848,0.0,1.0,0.0,0.32035985988553656,0.0,0.6796401401144635,0.0,20834416.584864948,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,264878399.67643884,R0,1,0,0,False,True,False,132220422.17568631,1729779577.8243136,efd9cb118ee7bfc6fe4a277bab9e4ab54e7938f39e2c7e172c7b2e9fbb0d1786,E3A,LA-0914,914,0.16,0.68,0.41703436585592946,0.5904406859922471,0.1119855930660333,0.24608150148315483,0.8,0.0,531999999.99999845,648459768.1347787,False,0,285712816.2613038,False,0,0
E3A_H000_MF080,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,e79c91efb8dd7a7bc48efd90acc177ef0f5854ed4b701af953cacd4e0677c33f,da223cdfa2b470b81c36af832a8aea97cd5aa8e81eb2840b7c8398688c2572d1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,187cf0cea6f95709d3fcb292361f39960df751ff59c537f8144c96d7e947908e,3,2,2,c10f9ff0130b4b03eaabcd545c77d377000a65b6b57071228117d647163a9b8f,P4,False,False,False,Q[NONE]|F[Crackers],1188010729.5474637,1188010729.5474637,0.0,4161236.283083032,0.0,4161236.283083032,h09,5,Katrina,1183849493.2643807,14976669.572355445,1168872823.6920252,1646953992.8373985,235003351.22698787,19137905.85543848,0.0,1.0,0.0,0.21743425401481534,0.0,0.7825657459851846,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,277504553.6627075,R0,1,0,0,False,True,False,235003351.22698787,1626996648.7730122,314b8c435bdc3edc7fbe4259a34c640ed1cc25dc061042f51b6502d907fd5657,E3A,LA-0802,802,0.16,0.68,0.22450693111694414,0.6983941516583669,0.264049851643112,0.35249072367712136,0.8,26944320.000000004,531999999.99999845,609928503.6920267,False,0,277504553.6627075,False,0,0
E3A_H000_MF080,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,509fb2b4ab060f5e6f5a325053421556c4b537b7b562287682cb38bbd6ca9029,838f7b2cf72dadf93254870bff0c3d4d70a6ef253054161c13854ebb2bac251a,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,7a6e27ac7d97ee746e03f980c402636de4c4cfeac54daf34091e78049d4fbd74,3,2,2,a7b35e9d94b4e59a58de2a60dd816ba858c3e784ed5703b31cead582a3c99e30,P4,False,False,False,Q[NONE]|F[Water+Crackers],1198946733.4531045,1198946733.4531045,0.0,6020356.947041972,0.0,6020356.947041972,h09,5,Katrina,1192926376.5060625,13117548.908396507,1179808827.597666,1737600524.8093383,144356819.255048,19137905.85543848,0.0,1.0,0.0,0.3145776237231906,0.0,0.6854223762768094,0.0,20285785.013458222,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,261290311.20140237,R0,1,0,0,False,True,False,133956819.255048,1728043180.744952,255f269d582e1cf086868f096bd9ab00e22221fde3020d730b45a68f12042108,E3A,LA-0642,642,0.16,0.68,0.06699705468517274,0.4844005160083719,0.16895822976115987,0.5937229103707351,0.8,0.0,531999999.99999845,647808827.5976676,False,0,281576096.21486056,False,0,0
E3A_H000_MF080,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,f6a3838c480c25c978c001308afe5c09f6e42beb107eb561d7b5d1c463f4ea74,3b50a601f0d7492d5e9b297e39ce5dbdbcb31f8499d382c4c3f9f6d074b7a2a1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,6fb3f2064c5106592f6d95f7fa316fae25e53cb9b785324043d7c2b478e32b5c,3,2,2,5902ce76e2761280cea24a5457cd092572350b3f9335403c7917694b45e80e97,P4,False,False,False,Q[NONE]|F[Water+Crackers],1197336355.4928024,1197336355.4928024,0.0,5746592.693790615,0.0,5746592.693790615,h09,5,Katrina,1191589762.7990117,13391313.161647864,1178198449.637364,1733304808.952792,148652535.11159435,19137905.85543848,0.0,1.0,0.0,0.3002728060843495,0.0,0.6997271939156505,0.0,18967474.959288407,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,252144374.78724107,R0,1,0,0,False,True,False,138252535.11159435,1723747464.8884056,edaf455f5966cb8225a2ad17ba960ead865e8eaeb564b05bcdf455e9e55fb637,E3A,LA-0765,765,0.16,0.68,0.1898448484679951,0.4371363058080994,0.28539794189257744,0.5283998480867639,0.8,0.0,531999999.99999845,646198449.6373655,False,0,271111849.74652946,False,0,0
E3A_H000_MF080,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,dd197e6b8c966f9f7895b409382b85b0f7502008e7fbe2cf19e40b26e5772fd0,dfcb4cb0c3a31cc625229332ea177ead411bcdbc9a62105ff67c9ce2e224a241,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,99a1f5cad8c87d47b24f3a161a9826df77a76de522488cca6bdd90ee4256bf5f,3,2,2,ba31945835f4cee6d806cc0dc99445fbf408b3854894c93d20ed429370e2ae73,P4,False,False,False,Q[NONE]|F[Crackers],1189057490.0908477,1189057490.0908477,0.0,4339185.575458294,0.0,4339185.575458294,h09,5,Katrina,1184718304.5153894,14798720.27998018,1169919584.2354093,1649746247.808013,232211096.25637352,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.2267325175614872,0.0,0.7732674824385126,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,289371637.2878184,R0,1,0,0,False,True,False,232211096.25637352,1629788903.7436266,3fb51247484984798ddd040e2acd3b09639c42397da61266e35a35ffc8809812,E3A,LA-0334,334,0.16,0.68,0.2895217928490091,0.7929187165613949,0.17394007451564966,0.24644435350093383,0.8,26944320.000000004,531999999.99999845,610975264.2354107,False,0,289371637.2878184,False,0,0
E3A_H000_MF080,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,eb8258b8ffe2ec51c588bc05b3b02f6688a61d40799b9c4c234eab509f8733da,15cfdb765b791e74408fa2af35f9876e005e17106ccaa9b3f7daa14f2218a0b2,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,aced1c32e51ee8380794375fb063c3b1979df97dd7b7e6377a0a9cae7ba7aa2e,3,2,2,dd736ac13aba549d60fb7080c75f6011de88bf43a13049766c049d1a0bf1ec05,P4,False,False,False,Q[NONE]|F[Water+Crackers],1188014104.7823484,1188014104.7823484,0.0,4161810.073013424,0.0,4161810.073013424,h09,5,Katrina,1183852294.709335,14976095.782425053,1168876198.92691,1708437516.1912308,173519827.87315553,19137905.85543848,0.0,1.0,0.0,0.21746423587044397,0.0,0.7825357641295559,0.0,12283041.448163489,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,192654577.57531378,R0,1,0,0,False,True,False,163119827.87315553,1698880172.1268444,f2cd730446342287d00724c48a71a8105a8601c2c07012edb59aca49f017f87d,E3A,LA-0396,396,0.16,0.68,0.2258018163452346,0.4689931271083667,0.24058119227255972,0.5575706905747949,0.8,0.0,531999999.99999845,636876198.9269115,False,0,204937619.02347726,False,0,0
E3A_H000_MF080,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,085b9122f54ceed6aeb2a751e19a2c8c6a0b6ce8a54dfbb1c2a73be65ac3dcfc,dba0f2fd04b4d9003b835f260817787fcc69acbc22a653076f34b70045485ed8,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,2277806e8f672520edaa4c818d4fd9fd81a9a0947f84a63e8dcb9b1bd39cad60,3,2,2,2f88f12a91cb72c26db00011749f39211f5d97f4a94025267cd6552869b06769,P4,False,False,False,Q[NONE]|F[Crackers],1210251222.630765,1210251222.630765,0.0,7942120.107244257,0.0,7942120.107244257,h09,5,Katrina,1202309102.5235207,11195785.74819422,1191113316.7753265,1706280959.0220478,175676385.04233858,19137905.85543848,0.0,1.0,0.0,0.41499420925342884,0.0,0.5850057907465711,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,529644159.94746697,R0,1,0,0,False,True,False,175676385.04233858,1686323614.9576614,76b74392323f2c55a7ac166f84a7d93a9eaf83ab335fe9c9e26c96ed3b159993,E3A,LA-0358,358,0.16,0.68,0.18122989396527178,0.8836407375974568,0.169448012860699,0.30677213883897214,0.8,26944320.000000004,531999999.99999845,632168996.775328,False,0,529644159.94746697,False,0,0
E3A_H000_MF080,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,6f4f00008447dfa1278c33e4a5a06a38a29894a96985c6759ba17ebbdcca1746,84d3ed63a907a0ce646917e3248ec6fa8d786775cf8b8b995e5155801c8ef810,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,fc80999056998b6bf094b88258473fd06c634c4154b0f179e91ee7c3edc224bf,3,2,2,38569df67d7c3fea913c0039beb5591f79e97a4e6ca7454f2df6ebc0a79fa5a0,P4,False,False,False,Q[NONE]|F[Vaccine],1205517237.8365471,1205517237.8365471,0.0,6293328.07016428,844014.6220629379,7137342.692227218,h09,5,Katrina,1198379895.14432,12000563.16321126,1186379331.9811087,1880689171.6725552,1268172.3918311612,19137905.85543848,0.0,1.0,0.0,0.328840998471935,0.044101722959573014,0.627057278568492,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,2826480.3419464463,R1,0,1,0,False,True,False,1268172.3918311612,8289171.672555128,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,12752e9e8730931f7e2bc9f76ed6c539f272fbb33d64aa708ee28778f91dc31c,E3A,LA-0467,467,0.16,0.68,0.16440350159778977,0.6856890866437177,0.021458016811531793,0.5243704835539995,0.8,26944320.000000004,461408451.98110867,698026560.0,True,1,2826480.3419464463,True,1,0
E3A_H000_MF080,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,dabd17ca612eb01b84cce00b93f3461b00a7cb151e12cdd748c89d5c54f57238,cf90ac8884db2cbc00c8e1bf27ef07477342ce2234e2ca26bd75adc27c64b1dd,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,38879a1efe01a2e0a16fe3960390aed4a870adac76ad13c4d63b672e731bb019,3,2,2,8a4e0aab998027a291920b356b40d045fc0333fcf716406ba9a4636013425a17,P4,False,False,False,Q[NONE]|F[Water+Crackers],1203686691.2662616,1203686691.2662616,0.0,6826149.775278667,0.0,6826149.775278667,h09,5,Katrina,1196860541.490983,12311756.080159811,1184548785.410823,1750244458.36983,131712885.69455655,19137905.85543848,0.0,1.0,0.0,0.3566821692426112,0.0,0.6433178307573888,0.0,24506318.847034913,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,285858870.87352914,R0,1,0,0,False,True,False,121312885.69455655,1740687114.3054435,ef4a54e4bf30c4a83260508c8f7a0dfd928ad4c36031b7ceb64dd9050ffd164d,E3A,LA-0021,21,0.16,0.68,0.4895801788402024,0.7979024230837806,0.1780116821200538,0.5815412425832497,0.8,0.0,531999999.99999845,652548785.4108247,False,0,310365189.72056407,False,0,0
E3A_H000_MF080,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,63f41d011587d16687c2316fe0806573abb57cceb136bbd539abdc1236aa1716,02cf3e213965b52416d4cc06db651e7a6598e5563a55e7a199c466e6a67ce357,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.0,0.9,6a7f02dd7a2b3d74292d743e9fabb9938a1528a7ef458acad9000639715f405e,3,2,2,8c9f6bfb3e2fada3bcf0462889f8ea14ac2cb1d99a6e79aed5f8feb5b6a1372c,P4,False,False,False,Q[NONE]|F[Water+Crackers],1189698117.4789383,1189698117.4789383,0.0,4448092.231433711,0.0,4448092.231433711,h09,5,Katrina,1185250025.2475047,14689813.624004766,1170560211.6234999,1712929654.1996334,169027689.8647531,19137905.85543848,0.0,1.0,0.0,0.23242314310840248,0.0,0.7675768568915975,0.0,13383810.1463789,R0,1,0,0,False,True,False,10399999.999999996,3.725290298461914e-09,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,204138738.95274305,R0,1,0,0,False,True,False,158627689.8647531,1703372310.135247,afcbbc6522f97d3571fad129cf4dccfead102c926d3e10433ff71db63c81f153,E3A,LA-0148,148,0.16,0.68,0.05591599509288373,0.4695359446158535,0.020611356015534925,0.45254055164375706,0.8,9.651482105255128e-09,531999999.99999845,638560211.6235014,False,0,217522549.09912196,False,0,0
